'EM, ə m
STEPPING, s t ˈɛ p ɪ ŋ
STEPS, s t ˈɛ p s
STEREO, s t ˈɛ ɹ ɪ ˌəʊ
STET, s t ˈɛ t
STETZ, s t ˈɛ t s
STEVE, s t ˈiː v
STEVEN, s t ˈiː v ə n
STEVICK, s t ˈɛ v ɪ k
STEW, s t ˈuː
STEWART, s t ˈjʊə t
STICE, s t ˈaɪ s
STICH, s t ˈɪ tʃ
STICHT, s t ˈɪ k t
STICK, s t ˈɪ k
STICKER, s t ˈɪ k ə
STICKERS, s t ˈɪ k ə z
STICKING, s t ˈɪ k ɪ ŋ
STICKS, s t ˈɪ k s
STICKTIGHT, s t ˈɪ k t ˌaɪ t
STICKTIGHTS, s t ˈɪ k t ˌaɪ t s
STICKY, s t ˈɪ k iː
STIDD, s t ˈɪ d
STIFF, s t ˈɪ f
STIFFED, s t ˈɪ f t
STIFFENING, s t ˈɪ f n ɪ ŋ
STIFFS, s t ˈɪ f s
STIFLING, s t ˈaɪ f l ɪ ŋ
STIG, s t ˈɪ g
STIGLITZ, s t ˈɪ g l ɪ t s
STIHL, s t ˈɪ l
STIL, s t ˈɪ l
STILE, s t ˈaɪ l
STILES, s t ˈaɪ l z
STILL, s t ˈɪ l
STILLE, s t ˈɪ l
STILLED, s t ˈɪ l d
STILLINGS, s t ˈɪ l ɪ ŋ z
STILLS, s t ˈɪ l z
STILLWELL, s t ˈɪ l w ˌɛ l
STILLWELL'S, s t ˈɪ l w ˌɛ l z
STILS, s t ˈɪ l z
STILT, s t ˈɪ l t
STILTED, s t ˈɪ l t ɪ d
STILTS, s t ˈɪ l t s
STILWELL, s t ˈɪ l w ˌɛ l
STIMULUS, s t ˈɪ m jʊ l ə s
STINE, s t ˈaɪ n
STINEL, s t ˌɪ n ˈɛ l
STINEL'S, s t ˌɪ n ˈɛ l z
STINES, s t ˈaɪ n z
STING, s t ˈɪ ŋ
STING'S, s t ˈɪ ŋ z
STINGING, s t ˈɪ ŋ ɪ ŋ
STINGS, s t ˈɪ ŋ z
STINK, s t ˈɪ ŋ k
STINKING, s t ˈɪ ŋ k ɪ ŋ
STINKS, s t ˈɪ ŋ k s
STINNETT, s t ˈɪ n ɪ t
STINNETTE, s t ɪ n ˈɛ t
STINT, s t ˈɪ n t
STINTS, s t ˈɪ n t s
STIPE, s t ˈaɪ p
STIPES, s t ˈaɪ p s
STIPP, s t ˈɪ p
STITCH, s t ˈɪ tʃ
STITCHED, s t ˈɪ tʃ t
STITCHES, s t ˈɪ tʃ ɪ z
STITCHING, s t ˈɪ tʃ ɪ ŋ
STITES, s t ˈaɪ t s
STITH, s t ˈɪ θ
STITT, s t ˈɪ t
STITZ, s t ˈɪ t s
STOCK, s t ˈɒ k
STOCKINGS, s t ˈɒ k ɪ ŋ z
STOCKS, s t ˈɒ k s
STOKE, s t ˈəʊ k
STOLEN, s t ˈəʊ l ə n
STOMACH, s t ˈɐ m ə k
STONE, s t ˈəʊ n
STONES, s t ˈəʊ n z
STOOD, s t ˈʊ d
STOOL, s t ˈuː l
STOP, s t ˈɒ p
STOPPED, s t ˈɒ p t
STOPPING, s t ˈɒ p ɪ ŋ
STOPS, s t ˈɒ p s
STORAGE, s t ˈɒ ɹ ɪ dʒ
STORE, s t ˈɔː
STORES, s t ˈɔː z
STORIES, s t ˈɔː ɹ iː z
STORM, s t ˈɔː m
STORY, s t ˈɔː ɹ iː
STRAIGHT, s t ɹ ˈeɪ t
STRAIGHTFORWARD, s t ɹ ˌeɪ t f ˈɔː w ə d
STRAIN, s t ɹ ˈeɪ n
STRANGE, s t ɹ ˈeɪ n dʒ
STRAP, s t ɹ ˈæ p
STRAPS, s t ɹ ˈæ p s
STRATEGIC, s t ɹ ə t ˈiː dʒ ɪ k
STRATEGIES, s t ɹ ˈæ t ɪ dʒ iː z
STRATEGY, s t ɹ ˈæ t ɪ dʒ iː
STRATFORD, s t ɹ ˈæ t f ə d
STRAW, s t ɹ ˈɔː
STRAWBERRIES, s t ɹ ˈɔː b ə ɹ iː z
STRAWBERRY, s t ɹ ˈɔː b ə ɹ iː
STREAM, s t ɹ ˈiː m
STREET, s t ɹ ˈiː t
STREETS, s t ɹ ˈiː t s
STRENGTH, s t ɹ ˈɛ ŋ k θ
STRENGTH, s t ɹ ˈɛ ŋ θ
STRESS, s t ɹ ˈɛ s
STRETCH, s t ɹ ˈɛ tʃ
STRICT, s t ɹ ˈɪ k t
STRICTLY, s t ɹ ˈɪ k t l iː
STRIKE, s t ɹ ˈaɪ k
STRING, s t ɹ ˈɪ ŋ
STRIP, s t ɹ ˈɪ p
STROKE, s t ɹ ˈəʊ k
STRONG, s t ɹ ˈɒ ŋ
STRONGER, s t ɹ ˈɒ ŋ g ə
STRONGLY, s t ɹ ˈɒ ŋ l iː
STRUCK, s t ɹ ˈɐ k
STRUCTURAL, s t ɹ ˈɐ k tʃ ə ɹ ə l
STRUCTURE, s t ɹ ˈɐ k tʃ ə
STRUCTURES, s t ɹ ˈɐ k tʃ ə z
STRUGGLE, s t ɹ ˈɐ g ə l
STRUGGLING, s t ɹ ˈɐ g l ɪ ŋ
STRUGGLING, s t ɹ ˈɐ g ə l ɪ ŋ
STUART, s t ˈjʊə t
STUCK, s t ˈɐ k
STUDENT, s t ˈjuː d ə n t
STUDENTS, s t ˈjuː d ə n t s
STUDIED, s t ˈɐ d iː d
STUDIES, s t ˈɐ d iː z
STUDIO, s t ˈjuː d ɪ ˌəʊ
STUDY, s t ˈɐ d iː
STUDYING, s t ˈɐ d iː ɪ ŋ
STUFF, s t ˈɐ f
STUPID, s t ˈjuː p ɪ d
STY, s t ˈaɪ
STYLE, s t ˈaɪ l
STYLED, s t ˈaɪ l d
STYLES, s t ˈaɪ l z
STYLING, s t ˈaɪ l ɪ ŋ
STYLISH, s t ˈaɪ l ɪ ʃ
STYLIST, s t ˈaɪ l ɪ s t
STYLISTIC, s t aɪ l ˈɪ s t ɪ k
STYLISTS, s t ˈaɪ l ɪ s t s
STYLITES, s t ɪ l ˈaɪ t s
STYLIZE, s t ˈaɪ l ˌaɪ z
STYLIZED, s t ˈaɪ l ˌaɪ z d
STYNE, s t ˈaɪ n
STYS, s t ˈɪ s
STYX, s t ˈɪ k s
SU, s ˈuː
SUBJECT, s ə b dʒ ˈɛ k t
SUBJECT, s ˈɐ b dʒ ɪ k t
SUBJECTS, s ə b dʒ ˈɛ k t s
SUBJECTS, s ˈɐ b dʒ ɪ k t s
SUBSEQUENT, s ˈɐ b s ɪ k w ə n t
SUBSEQUENTLY, s ˈɐ b s ɪ k w ə n t l iː
SUBSTANCE, s ˈɐ b s t ə n s
SUBSTANTIAL, s ə b s t ˈæ n ʃ ə l
SUBSTANTIALLY, s ə b s t ˈæ n ʃ ə l iː
SUBTLE, s ˈɐ t ə l
SUCCEED, s ə k s ˈiː d
SUCCESS, s ə k s ˈɛ s
SUCCESSFUL, s ə k s ˈɛ s f ə l
SUCCESSFULLY, s ə k s ˈɛ s f ə l iː
SUCCESSION, s ə k s ˈɛ ʃ ə n
SUCCESSIVE, s ə k s ˈɛ s ɪ v
SUCCESSOR, s ə k s ˈɛ s ə
SUCH, s ˈɐ tʃ
SUCK, s ˈɐ k
SUDDEN, s ˈɐ d ə n
SUDDENLY, s ˈɐ d ə n l iː
SUE, s ˈuː
SUEDE, s w ˈeɪ d
SUEDES, s w ˈeɪ d z
SUESS, s w ˈɪ s
SUFFER, s ˈɐ f ə
SUFFERED, s ˈɐ f ə d
SUFFERING, s ˈɐ f ə ɹ ɪ ŋ
SUFFERING, s ˈɐ f ɹ ɪ ŋ
SUFFICIENT, s ə f ˈɪ ʃ ə n t
SUFFICIENTLY, s ə f ˈɪ ʃ ə n t l iː
SUGAR, ʃ ˈʊ g ə
SUGGEST, s ə dʒ ˈɛ s t
SUGGESTED, s ə dʒ ˈɛ s t ɪ d
SUGGESTING, s ə dʒ ˈɛ s t ɪ ŋ
SUGGESTION, s ə dʒ ˈɛ s tʃ ə n
SUGGESTIONS, s ə dʒ ˈɛ s tʃ ə n z
SUGGESTS, s ə dʒ ˈɛ s t s
SUICIDE, s ˈuː ɪ s ˌaɪ d
SUISSE, s w ˈɪ s
SUISSE'S, s w ˈɪ s ɪ z
SUIT, s ˈuː t
SUITABLE, s ˈuː t ə b ə l
SUITE, s w ˈiː t
SUITS, s ˈuː t s
SUM, s ˈɐ m
SUMMARY, s ˈɐ m ə ɹ iː
SUMMER, s ˈɐ m ə
SUMMIT, s ˈɐ m ɪ t
SUMS, s ˈɐ m z
SUN, s ˈɐ n
SUNDAY, s ˈɐ n d ˌeɪ
SUNDAY, s ˈɐ n d ˌiː
SUNDAYS, s ˈɐ n d ˌeɪ z
SUNDAYS, s ˈɐ n d ˌiː z
SUNDERLAND, s ˈɐ n d ə l ə n d
SUNNY, s ˈɐ n iː
SUNSHINE, s ˈɐ n ʃ ˌaɪ n
SUPER, s ˈuː p ə
SUPERB, s ʊ p ˈɜː b
SUPERIOR, s uː p ˈɪə ɹ ɪə
SUPERMARKET, s ˈuː p ə m ˌɑː k ɪ t
SUPERVISION, s ˌuː p ə v ˈɪ ʒ ə n
SUPPER, s ˈɐ p ə
SUPPLIED, s ə p l ˈaɪ d
SUPPLIERS, s ə p l ˈaɪ ə z
SUPPLIES, s ə p l ˈaɪ z
SUPPLY, s ə p l ˈaɪ
SUPPORT, s ə p ˈɔː t
SUPPORTED, s ə p ˈɔː t ɪ d
SUPPORTERS, s ə p ˈɔː t ə z
SUPPORTING, s ə p ˈɔː t ɪ ŋ
SUPPOSE, s ə p ˈəʊ z
SUPPOSED, s ə p ˈəʊ z d
SUPPOSEDLY, s ə p ˈəʊ z ə d l iː
SUPREME, s ə p ɹ ˈiː m
SURE, ʃ ˈɔː
SURELY, ʃ ˈɔː l iː
SURFACE, s ˈɜː f ə s
SURGEON, s ˈɜː dʒ ə n
SURGERY, s ˈɜː dʒ ə ɹ iː
SURNAME, s ˈɜː n ˌeɪ m
SURPRISE, s ə p ɹ ˈaɪ z
SURPRISE, s ə p ɹ ˈaɪ z
SURPRISED, s ə p ɹ ˈaɪ z d
SURPRISED, s ə p ɹ ˈaɪ z d
SURPRISING, s ə p ɹ ˈaɪ z ɪ ŋ
SURPRISING, s ə p ɹ ˈaɪ z ɪ ŋ
SURPRISINGLY, s ə p ɹ ˈaɪ z ɪ ŋ l iː
SURREY, s ˈɐ ɹ iː
SURROUNDED, s ə ɹ ˈaʊ n d ɪ d
SURVEY, s ə v ˈeɪ
SURVEY, s ˈɜː v ˌeɪ
SURVEYS, s ə v ˈeɪ z
SURVEYS, s ˈɜː v ˌeɪ z
SURVIVAL, s ə v ˈaɪ v ə l
SURVIVE, s ə v ˈaɪ v
SUSAN, s ˈuː z ə n
SUSPECT, s ə s p ˈɛ k t
SUSPECT, s ˈɐ s p ˌɛ k t
SUSPICION, s ə s p ˈɪ ʃ ə n
SUSPICIOUS, s ə s p ˈɪ ʃ ə s
SUSSEX, s ˈɐ s ɪ k s
SVEC, s v ˈɛ k
SVELTE, s v ˈɛ l t
SVEN, s v ˈɛ n
SVENSK, s v ˈɛ n s k
SVETLIK, s v ˈɛ t l ɪ k
SWAILES, s w ˈeɪ l z
SWAILS, s w ˈeɪ l z
SWAIM, s w ˈeɪ m
SWAIN, s w ˈeɪ n
SWAINE, s w ˈeɪ n
SWALES, s w ˈeɪ l z
SWAP, s w ˈɒ p
SWAPE, s w ˈeɪ p
SWAPES, s w ˈeɪ p s
SWAPPED, s w ˈɒ p t
SWAPPED, s w ˈɒ p t
SWATHE, s w ˈeɪ ð
SWAY, s w ˈeɪ
SWAYED, s w ˈeɪ d
SWAYING, s w ˈeɪ ɪ ŋ
SWAYNE, s w ˈeɪ n
SWAYS, s w ˈeɪ z
SWAYZE, s w ˈeɪ z
SWEAR, s w ˈɛə
SWEARING, s w ˈɛə ɹ ɪ ŋ
SWEAT, s w ˈɛ t
SWEATED, s w ˈɛ t ɪ d
SWEATIN', s w ˈɛ t ɪ n
SWEATING, s w ˈɛ t ɪ ŋ
SWEATS, s w ˈɛ t s
SWED, s w ˈɛ d
SWEDEN, s w ˈiː d ə n
SWEET, s w ˈiː t
SWEETHEART, s w ˈiː t h ˈɑː t
SWEETIE, s w ˈiː t iː
SWEETS, s w ˈiː t s
SWEIG, s w ˈaɪ g
SWELL, s w ˈɛ l
SWELLED, s w ˈɛ l d
SWELLING, s w ˈɛ l ɪ ŋ
SWELLS, s w ˈɛ l z
SWEM, s w ˈɛ m
SWEPT, s w ˈɛ p t
SWETT, s w ˈɛ t
SWETZ, s w ˈɛ t s
SWICK, s w ˈɪ k
SWIFT, s w ˈɪ f t
SWIFT'S, s w ˈɪ f t s
SWIFTS, s w ˈɪ f t s
SWIG, s w ˈɪ g
SWILL, s w ˈɪ l
SWILLING, s w ˈɪ l ɪ ŋ
SWIM, s w ˈɪ m
SWIMMING, s w ˈɪ m ɪ ŋ
SWIMS, s w ˈɪ m z
SWINDLING, s w ˈɪ n d l ɪ ŋ
SWINDON, s w ˈɪ n d ə n
SWINE, s w ˈaɪ n
SWING, s w ˈɪ ŋ
SWINGING, s w ˈɪ ŋ ɪ ŋ
SWINGS, s w ˈɪ ŋ z
SWINK, s w ˈɪ ŋ k
SWINT, s w ˈɪ n t
SWIPE, s w ˈaɪ p
SWIPED, s w ˈaɪ p t
SWIPES, s w ˈaɪ p s
SWIPING, s w ˈaɪ p ɪ ŋ
SWISH, s w ˈɪ ʃ
SWISHED, s w ˈɪ ʃ t
SWISHES, s w ˈɪ ʃ ɪ z
SWISS, s w ˈɪ s
SWISSHELM, s w ˈɪ s h ɛ l m
SWISSHELM, s w ˈɪ ʃ ɪ l m
SWITAJ, s w ɪ t ˈaɪ
SWITCH, s w ˈɪ tʃ
SWITCHBLADE, s w ˈɪ tʃ b l ˌeɪ d
SWITCHBLADES, s w ˈɪ tʃ b l ˌeɪ d z
SWITCHED, s w ˈɪ tʃ t
SWITCHES, s w ˈɪ tʃ ɪ z
SWITCHING, s w ˈɪ tʃ ɪ ŋ
SWITZERLAND, s w ˈɪ t s ə l ə n d
SWIVELING, s w ˈɪ v l ɪ ŋ
SWOLLEN, s w ˈəʊ l ə n
SWORE, s w ˈɔː
SY, s ˈaɪ
SYBASE, s ˈaɪ b ˌeɪ s
SYBASE'S, s ˈaɪ b ˈeɪ s ɪ z
SYBIL, s ˈɪ b ɪ l
SYBILLE, s ˈɪ b ɪ l
SYD, s ˈɪ d
SYDELL, s ˌaɪ d ˈɛ l
SYED, s ˈaɪ d
SYKES, s ˈaɪ k s
SYLPH, s ˈɪ l f
SYLPHIDE, s ˈɪ l f ɪ d
SYLVAIN, s ɪ l v ˈeɪ n
SYLVEST, s ɪ l v ˈɛ s t
SYLVITE, s ˈɪ l v ˌaɪ t
SYM, s ˈɪ m
SYMBOL, s ˈɪ m b ə l
SYME, s ˈaɪ m
SYMES, s ˈaɪ m z
SYMMES, s ˈɪ m z
SYMMS, s ˈɪ m z
SYMPATHETIC, s ˌɪ m p ə θ ˈɛ t ɪ k
SYMPATHY, s ˈɪ m p ə θ iː
SYMPTOMS, s ˈɪ m p t ə m z
SYMS, s ˈɪ m z
SYN, s ˈɪ n
SYNC, s ˈɪ ŋ k
SYNCH, s ˈɪ n tʃ
SYNDICATED, s ˈɪ n d ɪ k ˌeɪ t ɪ d
SYNDICATES, s ˈɪ n d ɪ k ˌeɪ t s
SYNDICATING, s ˈɪ n d ɪ k ˌeɪ t ɪ ŋ
SYNDICATS, s ˈɪ n d ɪ k ˌɪ t s
SYNOD, s ˈɪ n ə d
SYNTHESIZED, s ˈɪ n θ ɪ s ˌaɪ z d
SYNTHETIC, s ɪ n θ ˈɛ t ɪ k
SYNTHETICS, s ɪ n θ ˈɛ t ɪ k s
SYRUP, s ˈɪ ɹ ə p
SYSTEM, s ˈɪ s t ə m
SYSTEMATIC, s ˌɪ s t ə m ˈæ t ɪ k
SYSTEMIC, s ɪ s t ˈɛ m ɪ k
SYSTEMIX, s ˈɪ s t ɪ m ɪ k s
SYSTEMIX, s ˌɪ s t ˈɛ m ɪ k s
SYSTEMS, s ˈɪ s t ə m z
SZCZECH, ʃ ˈɛ k
SZE, ʃ ˈeɪ
SZWED, ʃ v ˈɛ d
TA, t ˈɑː
TABLE, t ˈeɪ b ə l
TABLES, t ˈeɪ b ə l z
TABLET, t ˈæ b l ə t
TABLETS, t ˈæ b l ə t s
TABLING, t ˈeɪ b l ɪ ŋ
TACTICS, t ˈæ k t ɪ k s
TAE, t ˈaɪ
TAE, t ˈeɪ
TAI, t ˈaɪ
TAIL, t ˈeɪ l
TAILED, t ˈeɪ l d
TAILGATE, t ˈeɪ l g ˌeɪ t
TAILING, t ˈeɪ l ɪ ŋ
TAILINGS, t ˈeɪ l ɪ ŋ z
TAILPIPE, t ˈeɪ l p ˌaɪ p
TAILS, t ˈeɪ l z
TAILSPIN, t ˈeɪ l s p ˌɪ n
TAINT, t ˈeɪ n t
TAINTS, t ˈeɪ n t s
TAIPEI, t ˈaɪ p ˌeɪ
TAIPEI'S, t ˈaɪ p ˌeɪ z
TAISEI, t ˈeɪ s ˌeɪ
TAIT, t ˈeɪ t
TAITE, t ˈeɪ t
TAITT, t ˈeɪ t
TAKE, t ˈeɪ k
TAKEN, t ˈeɪ k ə n
TAKES, t ˈeɪ k s
TAKIN', t ˈeɪ k ɪ n
TAKING, t ˈeɪ k ɪ ŋ
TAKINGS, t ˈeɪ k ɪ ŋ z
TALE, t ˈeɪ l
TALENT, t ˈæ l ə n t
TALES, t ˈeɪ l z
TALK, t ˈɔː k
TALKED, t ˈɔː k t
TALKING, t ˈɔː k ɪ ŋ
TALKS, t ˈɔː k s
TALL, t ˈɔː l
TALLER, t ˈɔː l ə
TAME, t ˈeɪ m
TAMED, t ˈeɪ m d
TAMES, t ˈeɪ m z
TAMING, t ˈeɪ m ɪ ŋ
TANK, t ˈæ ŋ k
TAP, t ˈæ p
TAPE, t ˈeɪ p
TAPE'S, t ˈeɪ p s
TAPED, t ˈeɪ p t
TAPES, t ˈeɪ p s
TAPING, t ˈeɪ p ɪ ŋ
TAPINGS, t ˈeɪ p ɪ ŋ z
TARGET, t ˈɑː g ɪ t
TARGETS, t ˈɑː g ɪ t s
TART, t ˈɑː t
TASK, t ˈɑː s k
TASKS, t ˈɑː s k s
TASTE, t ˈeɪ s t
TASTED, t ˈeɪ s t ɪ d
TASTES, t ˈeɪ s t s
TASTING, t ˈeɪ s t ɪ ŋ
TASTINGS, t ˈeɪ s t ɪ ŋ z
TASTY, t ˈeɪ s t iː
TATE, t ˈeɪ t
TATE'S, t ˈeɪ t s
TATGE, t ˈeɪ t dʒ
TAUGHT, t ˈɔː t
TAVES, t ˈeɪ v z
TAVISH, t ˈeɪ v ɪ ʃ
TAX, t ˈæ k s
TAXATION, t ˈæ k s ˈeɪ ʃ ə n
TAXES, t ˈæ k s ɪ z
TAXI, t ˈæ k s iː
TAY, t ˈeɪ
TAYLOR, t ˈeɪ l ə
TAYS, t ˈeɪ z
TE, t ˈiː
TEA, t ˈiː
TEACH, t ˈiː tʃ
TEACHER, t ˈiː tʃ ə
TEACHERS, t ˈiː tʃ ə z
TEACHING, t ˈiː tʃ ɪ ŋ
TEAM, t ˈiː m
TEAMS, t ˈiː m z
TEAPOT, t ˈiː p ˌɒ t
TEARS, t ˈɛə z
TEARS, t ˈɪə z
TEAS, t ˈiː z
TEBBE, t ˈɛ b
TEBBETTS, t ˈɛ b ɪ t s
TEBBIT, t ˈɛ b ɪ t
TEBBS, t ˈɛ b z
TEC, t ˈɛ k
TECH, t ˈɛ k
TECH'S, t ˈɛ k s
TECHINT, t ˈɛ k ˌɪ n t
TECHINT, t ˈɛ tʃ ɪ n t
TECHNIC, t ˈɛ k n ɪ k
TECHNICAL, t ˈɛ k n ɪ k ə l
TECHNICS, t ˈɛ k n ɪ k s
TECHNIQUE, t ɛ k n ˈiː k
TECHNIQUES, t ɛ k n ˈiː k s
TECHNOLOGICAL, t ˌɛ k n ə l ˈɒ dʒ ɪ k ə l
TECHNOLOGIES, t ɛ k n ˈɒ l ə dʒ iː z
TECHNOLOGY, t ɛ k n ˈɒ l ə dʒ iː
TECHS, t ˈɛ k s
TECK, t ˈɛ k
TECK'S, t ˈɛ k s
TED, t ˈɛ d
TED'S, t ˈɛ d z
TEDDY, t ˈɛ d iː
TEE, t ˈiː
TEES, t ˈiː z
TEETH, t ˈiː θ
TEFFT, t ˈɛ f t
TEGGE, t ˈɛ g
TEICH, t ˈaɪ k
TEIGE, t ˈaɪ dʒ
TEITELL, t ˈaɪ t ˌɛ l
TEK, t ˈɛ k
TEL, t ˈɛ l
TELECOM, t ˈɛ l ə k ɒ m
TELEPHONE, t ˈɛ l ə f ˌəʊ n
TELETEXT, t ˈɛ l ə t ˈɛ k s t
TELEVISION, t ˈɛ l ə v ˌɪ ʒ ə n
TELEX, t ˈɛ l ˌɛ k s
TELEX'S, t ˈɛ l ˌɛ k s ɪ z
TELEXED, t ˈɛ l ˌɛ k s t
TELEXES, t ˈɛ l ˌɛ k s ɪ s
TELIT, t ˈɛ l ˌɪ t
TELL, t ˈɛ l
TELLES, t ˈɛ l z
TELLEZ, t eɪ l ˈɛ z
TELLIN', t ˈɛ l ɪ n
TELLING, t ˈɛ l ɪ ŋ
TELLIS, t ˈɛ l ɪ s
TELLS, t ˈɛ l z
TELLTALE, t ˈɛ l t ˌeɪ l
TELLTALES, t ˈɛ l t ˌeɪ l z
TELLY, t ˈɛ l iː
TELMEX, t ˈɛ l m ˌɛ k s
TELMEX'S, t ˈɛ l m ˌɛ k s ɪ z
TELTSCHIK, t ˈɛ l tʃ ɪ k
TEMKIN, t ˈɛ m k ɪ n
TEMME, t ˈɛ m
TEMP, t ˈɛ m p
TEMPER, t ˈɛ m p ə
TEMPERATURE, t ˈɛ m p ə ɹ ə tʃ ə
TEMPERATURE, t ˈɛ m p ɹ ə tʃ ə
TEMPERATURES, t ˈɛ m p ə ɹ ə tʃ ə z
TEMPERATURES, t ˈɛ m p ɹ ə tʃ ə z
TEMPLATE, t ˈɛ m p l eɪ t
TEMPLET, t ˈɛ m p l ɪ t
TEMPLIN, t ˈɛ m p l ɪ n
TEMPORARY, t ˈɛ m p ə ɹ ə ɹ iː
TEMPS, t ˈɛ m p s
TEMPT, t ˈɛ m p t
TEMPTED, t ˈɛ m p t ɪ d
TEMPTING, t ˈɛ m p t ɪ ŋ
TEMPTS, t ˈɛ m p t s
TEN, t ˈɛ n
TEN'S, t ˈɛ n z
TENANT, t ˈɛ n ə n t
TENANTS, t ˈɛ n ə n t s
TENCH, t ˈɛ n tʃ
TEND, t ˈɛ n d
TENDED, t ˈɛ n d ɪ d
TENDENCY, t ˈɛ n d ə n s iː
TENDING, t ˈɛ n d ɪ ŋ
TENDS, t ˈɛ n d z
TENG, t ˈɛ ŋ
TENG-WEN, t ˈɛ ŋ w ˈɛ n
TENGIZ, t ˈɛ ŋ g ɪ z
TENN, t ˈɛ n
TENNER, t ˈɛ n ə
TENNIS, t ˈɛ n ɪ s
TENS, t ˈɛ n z
TENSE, t ˈɛ n s
TENSION, t ˈɛ n ʃ ə n
TENT, t ˈɛ n t
TENTH, t ˈɛ n θ
TENTHS, t ˈɛ n θ s
TENTS, t ˈɛ n t s
TEPID, t ˈɛ p ɪ d
TERESA, t ə ɹ ˈeɪ s ə
TERESA, t ə ɹ ˈiː s ə
TERM, t ˈɜː m
TERMS, t ˈɜː m z
TERRACE, t ˈɛ ɹ ə s
TERRIBLE, t ˈɛ ɹ ə b ə l
TERRIBLY, t ˈɛ ɹ ə b l iː
TERRIFIC, t ə ɹ ˈɪ f ɪ k
TERRITORY, t ˈɛ ɹ ɪ t ə ɹ iː
TERRY, t ˈɛ ɹ iː
TESCH, t ˈɛ ʃ
TESCO, t ˈɛ s k əʊ
TESH, t ˈɛ ʃ
TESKE, t ˈɛ s k
TESLIK, t ˈɛ s l ɪ k
TESS, t ˈɛ s
TESSICK, t ˈɛ s ɪ k
TEST, t ˈɛ s t
TEST'S, t ˈɛ s t s
TESTED, t ˈɛ s t ɪ d
TESTES, t ˈɛ s t s
TESTING, t ˈɛ s t ɪ ŋ
TESTS, t ˈɛ s t s
TESTS', t ˈɛ s t s
TET, t ˈɛ t
TETE, t ˈɛ t
TEVIS, t ˈɛ v ɪ s
TEVLIN, t ˈɛ v l ɪ n
TEWELL, t ˈɛ w ɛ l
TEX, t ˈɛ k s
TEXT, t ˈɛ k s t
TEXTILE, t ˈɛ k s t ˌaɪ l
TEXTILES, t ˈɛ k s t ˌaɪ l z
TEXTING, t ˈɛ k s t ˌɪ ŋ
TEXTS, t ˈɛ k s t s
THAI, t ˈaɪ
THAI'S, t ˈaɪ z
THAIN, θ ˈeɪ n
THAINE, θ ˈeɪ n
THAIS, t ˈaɪ z
THAMES, t ˈɛ m z
THAN, ð ə n
THAN, ð ˈæ n
THANE, θ ˈeɪ n
THANK, θ ˈæ ŋ k
THANKS, θ ˈæ ŋ k s
THANKYOU, θ ˈæ ŋ k ˈjuː
THAT, ð ə t
THAT, ð ˈæ t
THATCHER, θ ˈæ tʃ ə
THAYNE, θ ˈeɪ n
THE, ð iː
THE, ð ə
THE, ð ˈiː
THEATRE, θ ˈɪə t ə
THEE, ð ˈiː
THEFT, θ ˈɛ f t
THEFTS, θ ˈɛ f t s
THEIL, θ ˈaɪ l
THEILE, θ ˈaɪ l
THEIN, θ ˈaɪ n
THEIR, ð ˈɛə
THEIRS, ð ˈɛə z
THEIS, ð ˈaɪ z
THEISS, θ ˈaɪ s
THELIN, θ ˈɛ l ɪ n
THEM, ð ə m
THEM, ð ˈɛ m
THEME, θ ˈiː m
THEMES, θ ˈiː m z
THEMSELF, ð ɛ m s ˈɛ l f
THEMSELVES, ð ə m s ˈɛ l v z
THEMSELVES, ð ɛ m s ˈɛ l v z
THEN, ð ˈɛ n
THENCE, ð ˈɛ n s
THEORETICAL, θ ɪə ɹ ˈɛ t ɪ k ə l
THEORIES, θ ˈɪə ɹ iː z
THEORY, θ ˈɪə ɹ iː
THERAPY, θ ˈɛ ɹ ə p iː
THERE, ð ˈɛə
THEREAFTER, ð ə ɹ ˈɑː f t ə
THEREBY, ð ˈɛə b ˈaɪ
THEREFORE, ð ˈɛə f ˌɔː
THERESA, t ə ɹ ˈeɪ s ə
THERESA, t ə ɹ ˈiː s ə
THESE, ð ˈiː z
THEY, ð ˈeɪ
THEY'D, ð ˈeɪ d
THEY'LL, ð ˈeɪ l
THEY'VE, ð ˈeɪ v
THI, θ ˈiː
THICK, θ ˈɪ k
THICKENING, θ ˈɪ k n ɪ ŋ
THICKER, θ ˈɪ k ə
THICKEST, θ ˈɪ k ɪ s t
THICKET, θ ˈɪ k ɪ t
THICKHEAD, θ ˈɪ k h ˌɛ d
THIGH, θ ˈaɪ
THIGHS, θ ˈaɪ z
THILL, θ ˈɪ l
THIN, θ ˈɪ n
THINE, ð ˈaɪ n
THING, θ ˈɪ ŋ
THING'S, θ ˈɪ ŋ z
THINGS, θ ˈɪ ŋ z
THINGS', θ ˈɪ ŋ z
THINGY, θ ˈɪ ŋ iː
THINK, θ ˈɪ ŋ k
THINK'S, θ ˈɪ ŋ k s
THINKIN, θ ˈɪ ŋ k ɪ n
THINKIN', θ ˈɪ ŋ k ɪ n
THINKING, θ ˈɪ ŋ k ɪ ŋ
THINKS, θ ˈɪ ŋ k s
THINNED, θ ˈɪ n d
THINNER, θ ˈɪ n ə
THINNES, θ ˈɪ n z
THINNES, θ ˈɪ n ɪ z
THINNESS, θ ˈɪ n n ɪ s
THINNESS, θ ˈɪ n ɪ s
THINNEST, θ ˈɪ n ɪ s t
THINNING, θ ˈɪ n ɪ ŋ
