'D(1), d
TELETEXT, t ˈɛ l ə t ˌɛ k s t
TELEVISION, t ˈɛ l ə v ˌɪ ʒ ə n
TELEVISIONS, t ˈɛ l ɪ v ˌɪ ʒ ə n z
TELL, t ˈɛ l
TELLING, t ˈɛ l ɪ ŋ
TELLS, t ˈɛ l z
TELLY, t ˈɛ l iː
TEMP, t ˈɛ m p
TEMPER, t ˈɛ m p ə
TEMPERATURE(1), t ˈɛ m p ɹ ə tʃ ə
TEMPERATURE(2), t ˈɛ m p ə ɹ ə tʃ ə
TEMPERATURES(1), t ˈɛ m p ɹ ə tʃ ə z
TEMPERATURES(2), t ˈɛ m p ə ɹ ə tʃ ə z
TEMPLATE(1), t ˈɛ m p l eɪ t
TEMPLATE(2), t ˈɛ m p l ə t
TEMPLATES(1), t ˈɛ m p l eɪ t s
TEMPLATES(2), t ˈɛ m p l ə t s
TEMPLE, t ˈɛ m p ə l
TEMPORAL, t ˈɛ m p ə ɹ ə l
TEMPORARILY, t ˌɛ m p ə ɹ ˈæ ɹ ə l iː
TEMPORARY, t ˈɛ m p ə ɹ ə ɹ iː
TEMPTATION, t ɛ m t ˈeɪ ʃ ə n
TEMPTED, t ˈɛ m p t ɪ d
TEN, t ˈɛ n
TENANT, t ˈɛ n ə n t
TENANTS, t ˈɛ n ə n t s
TEND, t ˈɛ n d
TENDED, t ˈɛ n d ɪ d
TENDENCY, t ˈɛ n d ə n s iː
TENDER, t ˈɛ n d ə
TENDS, t ˈɛ n d z
TENNER, t ˈɛ n ə
TENNESSEE, t ˌɛ n ə s ˈiː
TENNIS, t ˈɛ n ɪ s
TENS, t ˈɛ n z
TENSE, t ˈɛ n s
TENSION, t ˈɛ n ʃ ə n
TENSIONS, t ˈɛ n ʃ ə n z
TENT, t ˈɛ n t
TENTH, t ˈɛ n θ
TERESA(1), t ə ɹ ˈiː s ə
TERESA(2), t ə ɹ ˈeɪ s ə
TERM, t ˈɜː m
TERMINAL, t ˈɜː m ɪ n ə l
TERMINALS, t ˈɜː m ɪ n ə l z
TERMINATION, t ə m ɪ n ˈeɪ ʃ ə n
TERMINOLOGY, t ˌɜː m ɪ n ˈɒ l ə dʒ iː
TERMS, t ˈɜː m z
TERRACE, t ˈɛ ɹ ə s
TERRAIN, t ə ɹ ˈeɪ n
TERRIBLE, t ˈɛ ɹ ə b ə l
TERRIBLY, t ˈɛ ɹ ə b l iː
TERRIFIC, t ə ɹ ˈɪ f ɪ k
TERRIFIED, t ˈɛ ɹ ɪ f ˌaɪ d
TERRITORIAL, t ˌɛ ɹ ɪ t ˈɔː ɹ ɪə l
TERRITORIES, t ˈɛ ɹ ɪ t ə ɹ iː z
TERRITORY, t ˈɛ ɹ ɪ t ə ɹ iː
TERROR, t ˈɛ ɹ ə
TERRORISM, t ˈɛ ɹ ə ɹ ˌɪ z ə m
TERRORIST, t ˈɛ ɹ ə ɹ ɪ s t
TERRORISTS, t ˈɛ ɹ ə ɹ ɪ s t s
TERRY, t ˈɛ ɹ iː
TESCO, t ˈɛ s k əʊ
TEST, t ˈɛ s t
TESTAMENT, t ˈɛ s t ə m ə n t
TESTED, t ˈɛ s t ɪ d
TESTIFY, t ˈɛ s t ɪ f ˌaɪ
TESTIMONIALS, t ˌɛ s t ɪ m ˈəʊ n ɪə l z
TESTIMONY, t ˈɛ s t ɪ m ə n iː
TESTING, t ˈɛ s t ɪ ŋ
TESTS, t ˈɛ s t s
TEX-MEX, t ˈɛ k s m ˌɛ k s
TEXAS, t ˈɛ k s ə s
TEXT, t ˈɛ k s t
TEXTBOOK, t ˈɛ k s t b ˌuː k
TEXTBOOKS, t ˈɛ k s t b ˌʊ k s
TEXTILE, t ˈɛ k s t ˌaɪ l
TEXTILES, t ˈɛ k s t ˌaɪ l z
TEXTS, t ˈɛ k s t s
TEXTURE, t ˈɛ k s tʃ ə
THAI, t ˈaɪ
THAILAND, t ˈaɪ l ˌæ n d
THAMES, t ˈɛ m z
THAN(1), ð ə n
THAN(2), ð ˈæ n
THANK, θ ˈæ ŋ k
THANKS, θ ˈæ ŋ k s
THANKSGIVING, θ ˌæ ŋ k s g ˈɪ v ɪ ŋ
THANKYOU, θ ˈæ ŋ k j uː
THAT(1), ð ə t
THAT(2), ð ˈæ t
THATCHER, θ ˈæ tʃ ə
THE(1), ð ə
THE(2), ð iː
THE(3), ð ˈiː
THEATER, θ ˈɪə t ə
THEATERS, θ ˈɪə t ə z
THEATRE, θ ˈɪə t ə
THEATRES, θ ˈɪə t ə z
THEE, ð ˈiː
THEFT, θ ˈɛ f t
THEIR, ð ˈɛə
THEIRS, ð ˈɛə z
THEM(1), ð ə m
THEM(2), ð ˈɛ m
THEME, θ ˈiː m
THEMES, θ ˈiː m z
THEMSELVES(1), ð ə m s ˈɛ l v z
THEMSELVES(2), ð ɛ m s ˈɛ l v z
THEN, ð ˈɛ n
THEOLOGY, θ ɪ ˈɒ l ə dʒ iː
THEOREM, θ ˈɪə ɹ ə m
THEORETICAL, θ ɪə ɹ ˈɛ t ɪ k ə l
THEORIES, θ ˈɪə ɹ iː z
THEORISTS, θ ˈɪə ɹ ɪ s t s
THEORY, θ ˈɪə ɹ iː
THERAPEUTIC, θ ˌɛ ɹ ə p j ˈuː t ɪ k
THERAPIST, θ ˈɛ ɹ ə p ɪ s t
THERAPY, θ ˈɛ ɹ ə p iː
THERE, ð ˈɛə
THEREAFTER, ð ˌɛə ɹ ˈɑː f t ə
THEREBY, ð ˌɛə b ˈaɪ
THEREFORE, ð ˈɛə f ˌɔː
THEREOF, ð ˌɛə ɹ ˈɒ v
THERESA(1), t ə ɹ ˈiː s ə
THERESA(2), t ə ɹ ˈeɪ s ə
THERMAL, θ ˈɜː m ə l
THESAURUS, θ ɪ s ˈɔː ɹ ə s
THESE, ð ˈiː z
THESIS, θ ˈiː s ɪ s
THETA, θ ˈiː t ə
THEY, ð ˈeɪ
THICK, θ ˈɪ k
THICKER, θ ˈɪ k ə
THICKNESS, θ ˈɪ k n ə s
THIEF, θ ˈiː f
THIEVES, θ ˈiː v z
THIGH, θ ˈaɪ
THIN, θ ˈɪ n
THING, θ ˈɪ ŋ
THINGS, θ ˈɪ ŋ z
THINGY, θ ˈɪ ŋ iː
THINK, θ ˈɪ ŋ k
THINKING, θ ˈɪ ŋ k ɪ ŋ
THINKPAD, θ ˈɪ ŋ k p ˌæ d
THINKS, θ ˈɪ ŋ k s
THINNER, θ ˈɪ n ə
THIRD, θ ˈɜː d
THIRDLY, θ ˈɜː d l iː
THIRDS, θ ˈɜː d z
THIRSTY, θ ˈɜː s t iː
THIRTEEN(1), θ ˈɜː t ˌiː n
THIRTEEN(2), θ ɜː t ˈiː n
THIRTEENTH, θ ɜː t ˈiː n θ
THIRTIES, θ ˈɜː t iː z
THIRTY, θ ˈɜː t ˌiː
THIS(1), ð ɪ s
THIS(2), ð ˈɪ s
THOMAS, t ˈɒ m ə s
THOMPSON(1), t ˈɒ m p s ə n
THOMPSON(2), t ˈɒ m s ə n
THOMSON, t ˈɒ m s ə n
THONG, θ ˈɒ ŋ
THONGS, θ ˈɒ ŋ z
THOROUGH, θ ˈɐ ɹ ə
THOROUGHLY, θ ˈɐ ɹ ə l iː
THOSE, ð ˈəʊ z
THOU, ð ˈaʊ
THOUGH, ð ˈəʊ
THOUGHT, θ ˈɔː t
THOUGHTS, θ ˈɔː t s
THOUSAND, θ ˈaʊ z ə n d
THOUSANDS, θ ˈaʊ z ə n d z
THREAD, θ ɹ ˈɛ d
THREADED, θ ɹ ˈɛ d ɪ d
THREADS, θ ɹ ˈɛ d z
THREAT, θ ɹ ˈɛ t
THREATEN, θ ɹ ˈɛ t ə n
THREATENED, θ ɹ ˈɛ t ə n d
THREATENING(1), θ ɹ ˈɛ t n ɪ ŋ
THREATENING(2), θ ɹ ˈɛ t ɪ n ɪ ŋ
THREATS, θ ɹ ˈɛ t s
THREE, θ ɹ ˈiː
THREES, θ ɹ ˈiː z
THREESOME, θ ɹ ˈiː s ə m
THRESHOLD, θ ɹ ˈɛ ʃ ˌəʊ l d
THREW, θ ɹ ˈuː
THRILLER, θ ɹ ˈɪ l ə
THROAT, θ ɹ ˈəʊ t
THRONE, θ ɹ ˈəʊ n
THROUGH, θ ɹ ˈuː
THROUGHOUT, θ ɹ uː ˈaʊ t
THROW, θ ɹ ˈəʊ
THROWING, θ ɹ ˈəʊ ɪ ŋ
THROWN, θ ɹ ˈəʊ n
THROWS, θ ɹ ˈəʊ z
THRU, θ ɹ ˈuː
THRUST, θ ɹ ˈɐ s t
THUMB, θ ˈɐ m
THUMBNAIL, θ ˈɐ m n ˌeɪ l
THUMBNAILS, θ ˈɐ m n ˌeɪ l z
THUMBS, θ ˈɐ m z
THUNDER, θ ˈɐ n d ə
THURSDAY(1), θ ˈɜː z d iː
THURSDAY(2), θ ˈɜː z d ˌeɪ
THURSDAYS(1), θ ˈɜː z d iː z
THURSDAYS(2), θ ˈɜː z d eɪ z
THUS, ð ˈɐ s
THY, ð ˈaɪ
TICK, t ˈɪ k
TICKET, t ˈɪ k ɪ t
TICKETS, t ˈɪ k ɪ t s
TIDE, t ˈaɪ d
TIDY, t ˈaɪ d iː
TIE, t ˈaɪ
TIED, t ˈaɪ d
TIER, t ˈɪə
TIES, t ˈaɪ z
TIGER, t ˈaɪ g ə
TIGERS, t ˈaɪ g ə z
TIGHT, t ˈaɪ t
TIGHTLY, t ˈaɪ t l iː
TIGHTS, t ˈaɪ t s
TIL, t ˈɪ l
TILE, t ˈaɪ l
TILES, t ˈaɪ l z
TILL, t ˈɪ l
TIM, t ˈɪ m
TIMBER, t ˈɪ m b ə
TIME, t ˈaɪ m
TIMELINE, t ˈaɪ m l aɪ n
TIMELY, t ˈaɪ m l iː
TIMER, t ˈaɪ m ə
TIMES, t ˈaɪ m z
TIMETABLE, t ˈaɪ m t ˌeɪ b ə l
TIMING, t ˈaɪ m ɪ ŋ
TIMMY, t ˈɪ m iː
TIMOTHY, t ˈɪ m ə θ iː
TIN, t ˈɪ n
TINA, t ˈiː n ə
TINS, t ˈɪ n z
TINY, t ˈaɪ n iː
TIP, t ˈɪ p
TIPS, t ˈɪ p s
TIRE, t ˈaɪ ə
TIRED, t ˈaɪ ə d
TIRES, t ˈaɪ ə z
TISSUE(1), t ˈɪ ʃ uː
TISSUE(2), t ˈɪ s j uː
TISSUES(1), t ˈɪ ʃ uː z
TISSUES(2), t ˈɪ s j uː z
TIT, t ˈɪ t
TITANIUM, t aɪ t ˈeɪ n ɪə m
TITANS, t ˈaɪ t ə n z
TITLE, t ˈaɪ t ə l
TITLED, t ˈaɪ t ə l d
TITLES, t ˈaɪ t ə l z
TITS, t ˈɪ t s
TO(1), t ə
TO(2), t ʊ
TO(3), t ˈuː
TOAST, t ˈəʊ s t
TOASTER, t ˈəʊ s t ə
TOBACCO, t ə b ˈæ k ˌəʊ
TOBAGO, t ə b ˈeɪ g əʊ
TOBY, t ˈəʊ b iː
TODAY(1), t ə d ˈeɪ
TODAY(2), t uː d ˈeɪ
TODD, t ˈɒ d
TODDLER, t ˈɒ d l ə
TOE, t ˈəʊ
TOES, t ˈəʊ z
TOFFEE, t ˈɒ f iː
TOGETHER, t ə g ˈɛ ð ə
TOILET, t ˈɔɪ l ə t
TOILETS, t ˈɔɪ l ə t s
TOKEN, t ˈəʊ k ə n
TOKENS, t ˈəʊ k ə n z
TOKYO, t ˈəʊ k ɪ əʊ
TOLD, t ˈəʊ l d
TOLERANCE, t ˈɒ l ə ɹ ə n s
TOLL, t ˈəʊ l
TOM, t ˈɒ m
TOMATO, t ə m ˈɑː t ˌəʊ
TOMATOES, t ə m ˈɑː t əʊ z
TOMB, t ˈuː m
TOMMY, t ˈɒ m iː
TOMORROW, t ə m ˈɒ ɹ ˌəʊ
TON, t ˈɐ n
TONE, t ˈəʊ n
TONER, t ˈəʊ n ə
TONES, t ˈəʊ n z
TONGUE, t ˈɐ ŋ
TONIGHT, t ə n ˈaɪ t
TONNES, t ˈɐ n z
TONS, t ˈɐ n z
TONY, t ˈəʊ n iː
TOO, t ˈuː
TOOK, t ˈʊ k
TOOL, t ˈuː l
TOOLBAR, t ˈuː l b ˌɑː
TOOLBOX, t ˈuː l b ˌɒ k s
TOOLKIT, t ˈuː l k ɪ t
TOOLS, t ˈuː l z
TOOTH, t ˈuː θ
TOP, t ˈɒ p
TOPIC, t ˈɒ p ɪ k
TOPICS, t ˈɒ p ɪ k s
TOPLESS, t ˈɒ p l ə s
TOPS, t ˈɒ p s
TORCH, t ˈɔː tʃ
TORFAEN, t ˈɔː v ˌæ n
TORIES, t ˈɔː ɹ iː z
TORN, t ˈɔː n
TORONTO, t ə ɹ ˈɒ n t əʊ
TORTURE, t ˈɔː tʃ ə
TORY, t ˈɔː ɹ iː
TOSHIBA, t əʊ ʃ ˈiː b ə
TOSS, t ˈɒ s
TOTAL, t ˈəʊ t ə l
TOTALLY, t ˈəʊ t ə l iː
TOTALS, t ˈəʊ t ə l z
TOTTENHAM(1), t ˈɒ t n ə m
TOTTENHAM(2), t ˈɒ t ə n ə m
TOUCH, t ˈɐ tʃ
TOUCHED, t ˈɐ tʃ t
TOUCHING, t ˈɐ tʃ ɪ ŋ
TOUGH, t ˈɐ f
TOUR, t ˈʊə
TOURING, t ˈʊə ɹ ɪ ŋ
TOURISM, t ˈʊə ɹ ˌɪ z ə m
TOURIST, t ˈʊə ɹ ɪ s t
TOURISTS, t ˈʊə ɹ ɪ s t s
TOURNAMENT, t ˈɔː n ə m ə n t
TOURNAMENTS, t ˈɜː n ə m ə n t s
TOURS, t ˈʊə z
TOWARD, t ə w ˈɔː d
TOWARDS(1), t ə w ˈɔː d z
TOWARDS(2), t ˈɔː d z
TOWEL, t ˈaʊ ə l
TOWELS, t ˈaʊ ə l z
TOWER, t ˈaʊ ə
TOWERS, t ˈaʊ ə z
TOWN, t ˈaʊ n
TOWNS, t ˈaʊ n z
TOWNSHIP, t ˈaʊ n ʃ ɪ p
TOXIC, t ˈɒ k s ɪ k
TOY, t ˈɔɪ
TOYOTA, t əʊ j ˈəʊ t ə
TOYS, t ˈɔɪ z
TRACE, t ɹ ˈeɪ s
TRACEY, t ɹ ˈeɪ s iː
TRACK, t ɹ ˈæ k
TRACKED, t ɹ ˈæ k t
TRACKER, t ɹ ˈæ k ə
TRACKING, t ɹ ˈæ k ɪ ŋ
TRACKS, t ɹ ˈæ k s
TRACT, t ɹ ˈæ k t
TRACTOR, t ɹ ˈæ k t ə
TRACY, t ɹ ˈeɪ s iː
TRADE, t ɹ ˈeɪ d
TRADEMARK, t ɹ ˈeɪ d m ˌɑː k
TRADEMARKS, t ɹ ˈeɪ d m ˌɑː ɹ k s
TRADER, t ɹ ˈeɪ d ə
TRADERS, t ɹ ˈeɪ d ə z
TRADES, t ɹ ˈeɪ d z
TRADESMEN, t ɹ ˈeɪ d z m ə n
TRADING, t ɹ ˈeɪ d ɪ ŋ
TRADITION, t ɹ ə d ˈɪ ʃ ə n
TRADITIONAL, t ɹ ə d ˈɪ ʃ ə n ə l
TRADITIONALLY(1), t ɹ ə d ˈɪ ʃ n ə l iː
TRADITIONALLY(2), t ɹ ə d ˈɪ ʃ ə n ə l iː
TRADITIONS, t ɹ ə d ˈɪ ʃ ə n z
TRAFFIC, t ɹ ˈæ f ɪ k
TRAGEDY, t ɹ ˈæ dʒ ɪ d iː
TRAGIC, t ɹ ˈæ dʒ ɪ k
TRAIL, t ɹ ˈeɪ l
TRAILER, t ɹ ˈeɪ l ə
TRAILERS, t ɹ ˈeɪ l ə z
TRAILS, t ɹ ˈeɪ l z
TRAIN, t ɹ ˈeɪ n
TRAINED, t ɹ ˈeɪ n d
TRAINER, t ɹ ˈeɪ n ə
TRAINERS, t ɹ ˈeɪ n ə z
TRAINING, t ɹ ˈeɪ n ɪ ŋ
TRAINS, t ɹ ˈeɪ n z
TRAITOR, t ɹ ˈeɪ t ə
TRAM, t ɹ ˈæ m
TRAMP, t ɹ ˈæ m p
TRANCE, t ɹ ˈɑː n s
TRANNY, t ɹ ˈæ n iː
TRANS, t ɹ ˈæ n z
TRANSACTION, t ɹ æ n z ˈæ k ʃ ə n
TRANSACTIONS, t ɹ æ n z ˈæ k ʃ ə n z
TRANSCRIPT, t ɹ ˈæ n s k ɹ ˌɪ p t
TRANSCRIPTION, t ɹ ˌæ n s k ɹ ˈɪ p ʃ ə n
TRANSCRIPTS, t ɹ ˈæ n s k ɹ ˌɪ p t s
TRANSEXUAL, t ɹ æ n s ˈɛ k ʃ ʊə l
TRANSFER(1), t ɹ æ n s f ˈɜː
TRANSFER(2), t ɹ ˈæ n s f ɜː
TRANSFERRED, t ɹ æ n s f ˈɜː d
TRANSFERS(1), t ɹ ˈæ n s f ɜː z
TRANSFERS(2), t ɹ æ n s f ˈɜː z
TRANSFORM(1), t ɹ æ n s f ˈɔː m
TRANSFORM(2), t ɹ ˈæ n s f ˌɔː m
TRANSFORMATION, t ɹ ˌæ n s f ə m ˈeɪ ʃ ə n
TRANSFORMED, t ɹ æ n s f ˈɔː m d
TRANSIT, t ɹ ˈæ n z ɪ t
TRANSITION, t ɹ æ n z ˈɪ ʃ ə n
TRANSLATE, t ɹ ˌæ n s l ˈeɪ t
TRANSLATED, t ɹ ˌæ n s l ˈeɪ t ɪ d
TRANSLATION(1), t ɹ ˌæ n s l ˈeɪ ʃ ə n
TRANSLATION(2), t ɹ ˌæ n z l ˈeɪ ʃ ə n
TRANSLATIONS(1), t ɹ ˌæ n s l ˈeɪ ʃ ə n z
TRANSLATIONS(2), t ɹ ˌæ n z l ˈeɪ ʃ ə n z
TRANSLATOR(1), t ɹ ˌæ n s l ˈeɪ t ə
TRANSLATOR(2), t ɹ ˌæ n z l ˈeɪ t ə
TRANSMISSION(1), t ɹ ˌæ n s m ˈɪ ʃ ə n
TRANSMISSION(2), t ɹ ˌæ n z m ˈɪ ʃ ə n
TRANSMIT, t ɹ æ n z m ˈɪ t
TRANSMITTED, t ɹ æ n s m ˈɪ t ɪ d
TRANSPARENCY(1), t ɹ æ n s p ˈæ ɹ ə n s iː
TRANSPARENCY(2), t ɹ æ n s p ˈɛə ɹ ə n s iː
TRANSPARENT, t ɹ æ n s p ˈæ ɹ ə n t
TRANSPORT(1), t ɹ æ n s p ˈɔː t
TRANSPORT(2), t ɹ ˈæ n s p ˌɔː t
TRANSPORTATION, t ɹ ˌæ n s p ə t ˈeɪ ʃ ə n
TRANSSEXUAL, t ɹ æ n s ˈɛ k ʃ ʊə l
TRAP, t ɹ ˈæ p
TRAPPED, t ɹ ˈæ p t
TRASH, t ɹ ˈæ ʃ
TRAUMA, t ɹ ˈɔː m ə
TRAVEL, t ɹ ˈæ v ə l
TRAVELER, t ɹ ˈæ v ə l ə
TRAVELERS, t ɹ ˈæ v ə l ə z
TRAVELING, t ɹ ˈæ v ə l ɪ ŋ
TRAVELLED, t ɹ ˈæ v ə l d
TRAVELLER, t ɹ ˈæ v ə l ə
TRAVELLERS, t ɹ ˈæ v ə l ə z
TRAVELLING(1), t ɹ ˈæ v l ɪ ŋ
TRAVELLING(2), t ɹ ˈæ v ə l ɪ ŋ
TRAVELS, t ɹ ˈæ v ə l z
TRAVIS, t ɹ ˈæ v ɪ s
TRAY, t ɹ ˈeɪ
TRAYS, t ɹ ˈeɪ z
TREAD, t ɹ ˈɛ d
TREASURE, t ɹ ˈɛ ʒ ə
TREASURER, t ɹ ˈɛ ʒ ə ɹ ə
TREASURES, t ɹ ˈɛ ʒ ə z
TREASURY, t ɹ ˈɛ ʒ ə ɹ iː
TREAT, t ɹ ˈiː t
TREATED, t ɹ ˈiː t ɪ d
TREATING, t ɹ ˈiː t ɪ ŋ
TREATMENT, t ɹ ˈiː t m ə n t
TREATMENTS, t ɹ ˈiː t m ə n t s
TREATY, t ɹ ˈiː t iː
TREE, t ɹ ˈiː
TREES, t ɹ ˈiː z
TREK, t ɹ ˈɛ k
TREMENDOUS(1), t ɹ ə m ˈɛ n d ə s
TREMENDOUS(2), t ɹ ɪ m ˈɛ n d ə s
TREND, t ɹ ˈɛ n d
TRENDS, t ɹ ˈɛ n d z
TRENT, t ɹ ˈɛ n t
TREVOR, t ɹ ˈɛ v ə
TRIAL(1), t ɹ ˈaɪ l
TRIAL(2), t ɹ ˈaɪ ə l
TRIALS(1), t ɹ ˈaɪ l z
TRIALS(2), t ɹ ˈaɪ ə l z
TRIANGLE, t ɹ ˈaɪ ˌæ ŋ g ə l
TRIBAL, t ɹ ˈaɪ b ə l
TRIBE, t ɹ ˈaɪ b
TRIBES, t ɹ ˈaɪ b z
TRIBUNAL(1), t ɹ aɪ b j ˈuː n ə l
TRIBUNAL(2), t ɹ ɪ b j ˈuː n ə l
TRIBUNE, t ɹ ˈɪ b j uː n
TRIBUTE, t ɹ ˈɪ b j uː t
TRICK, t ɹ ˈɪ k
TRICKS, t ɹ ˈɪ k s
TRICKY, t ɹ ˈɪ k iː
TRIED, t ɹ ˈaɪ d
TRIES, t ɹ ˈaɪ z
TRIGGER, t ɹ ˈɪ g ə
TRIM, t ɹ ˈɪ m
TRINIDAD, t ɹ ˈɪ n ɪ d ˌæ d
TRINITY, t ɹ ˈɪ n ɪ t iː
TRIO, t ɹ ˈiː ˌəʊ
TRIP, t ɹ ˈɪ p
TRIPLE, t ɹ ˈɪ p ə l
TRIPS, t ɹ ˈɪ p s
TRISH, t ɹ ˈɪ ʃ
TRIUMPH, t ɹ ˈaɪ ə m f
TRIVIAL, t ɹ ˈɪ v ɪə l
TROLLEY, t ɹ ˈɒ l iː
TROOP, t ɹ ˈuː p
TROOPS, t ɹ ˈuː p s
TROPHY, t ɹ ˈəʊ f iː
TROPICAL, t ɹ ˈɒ p ɪ k ə l
TROT, t ɹ ˈɒ t
TROUBLE, t ɹ ˈɐ b ə l
TROUBLES, t ɹ ˈɐ b ə l z
TROUBLESHOOTING, t ɹ ˈɐ b ə l ʃ ˌuː t ɪ ŋ
TROUSERS, t ɹ ˈaʊ z ə z
TROUT, t ɹ ˈaʊ t
TRUCK, t ɹ ˈɐ k
TRUCKS, t ɹ ˈɐ k s
TRUE, t ɹ ˈuː
TRULY, t ɹ ˈuː l iː
TRUNK, t ɹ ˈɐ ŋ k
TRUST, t ɹ ˈɐ s t
TRUSTED, t ɹ ˈɐ s t ɪ d
TRUSTEE, t ɹ ˌɐ s t ˈiː
TRUSTEES, t ɹ ˌɐ s t ˈiː z
TRUSTS, t ɹ ˈɐ s t s
TRUTH, t ɹ ˈuː θ
TRY, t ɹ ˈaɪ
TRYING(1), t ɹ ˈaɪ ŋ
TRYING(2), t ɹ ˈaɪ ɪ ŋ
TSUNAMI, t s ʊ n ˈɑː m iː
TUB, t ˈɐ b
TUBE, t j ˈuː b
TUBES, t j ˈuː b z
TUCK, t ˈɐ k
TUCSON, t ˈuː s ˌɒ n
TUESDAY(1), t j ˈuː z d iː
TUESDAY(2), t j ˈuː z d ˌeɪ
TUESDAYS(1), t j ˈuː z d iː z
TUESDAYS(2), t j ˈuː z d ˌeɪ z
TUITION, t j uː ˈɪ ʃ ə n
TUMMY, t ˈɐ m iː
TUMOR, t j ˈuː m ə
TUMOUR, t j ˈuː m ə
TUNA, t j ˈuː n ə
TUNE, t j ˈuː n
TUNER, t j ˈuː n ə
TUNES, t j ˈuː n z
TUNING, t j ˈuː n ɪ ŋ
TUNISIA, t j ˌuː n ˈɪ z ɪə
TUNNEL, t ˈɐ n ə l
TURBO, t ˈɜː b əʊ
TURKEY, t ˈɜː k iː
TURKISH, t ˈɜː k ɪ ʃ
TURN, t ˈɜː n
TURNED, t ˈɜː n d
TURNER, t ˈɜː n ə
TURNING, t ˈɜː n ɪ ŋ
TURNOVER, t ˈɜː n ˌəʊ v ə
TURNS, t ˈɜː n z
TURTLE, t ˈɜː t ə l
TURTLES, t ˈɜː t ə l z
TUT, t ˈɐ t
TUTOR, t j ˈuː t ə
TUTORIAL, t j uː t ˈɔː ɹ ɪə l
TUTORIALS, t j uː t ˈɔː ɹ ɪə l z
TWELFTH, t w ˈɛ l f θ
TWELFTHS, t w ˈɛ l f θ s
TWELVE, t w ˈɛ l v
TWENTIES, t w ˈɛ n t iː z
TWENTIETH(1), t w ˈɛ n t ɪ ə θ
TWENTIETH(2), t w ˈɛ n t ɪ ɪ θ
TWENTY, t w ˈɛ n t iː
TWICE, t w ˈaɪ s
TWIN, t w ˈɪ n
TWINKLE, t w ˈɪ ŋ k ə l
TWINKS, t w ˈɪ ŋ k s
TWINS, t w ˈɪ n z
TWIST, t w ˈɪ s t
TWISTED, t w ˈɪ s t ɪ d
TWO, t ˈuː
TWOS, t ˈuː z
TYLER, t ˈaɪ l ə
TYNE, t ˈaɪ n
TYPE, t ˈaɪ p
TYPES, t ˈaɪ p s
TYPEWRITER, t ˈaɪ p ɹ ˌaɪ t ə
TYPICAL, t ˈɪ p ɪ k ə l
TYPICALLY(1), t ˈɪ p ɪ k l iː
TYPICALLY(2), t ˈɪ p ɪ k ə l iː
TYPING, t ˈaɪ p ɪ ŋ
TYRE, t ˈaɪ ə
TYRES, t ˈaɪ ə z
U, j ˈuː
U'S, j ˈuː z
UGANDA, j uː g ˈæ n d ə
UGH, ˈɐ g
UGLY, ˈɐ g l iː
UH, ˈɐ
UKRAINE, j uː k ɹ ˈeɪ n
ULCER, ˈɐ l s ə
ULSTER, ˈɐ l s t ə
ULTIMATE, ˈɐ l t ɪ m ə t
ULTIMATELY, ˈɐ l t ɪ m ə t l iː
ULTRA, ˈɐ l t ɹ ə
UM(1), ə m
UM(2), ɐ m
UMBRELLA, ɐ m b ɹ ˈɛ l ə
UN-PARENTHESES, ɐ n p ə ɹ ˈɛ n θ ə s ˌiː z
UNABLE, ɐ n ˈeɪ b ə l
UNACCEPTABLE, ˌɐ n æ k s ˈɛ p t ə b ə l
UNAUTHORIZED, ɐ n ˈɔː θ ə ɹ ˌaɪ z d
UNAVAILABLE, ˌɐ n ə v ˈeɪ l ə b ə l
UNAWARE, ˌɐ n ə w ˈɛə
UNBELIEVABLE, ˌɐ n b ə l ˈiː v ə b ə l
UNCERTAIN, ɐ n s ˈɜː t ə n
UNCERTAINTY, ɐ n s ˈɜː t ə n t iː
UNCHANGED, ɐ n tʃ ˈeɪ n dʒ d
UNCLE, ˈɐ ŋ k ə l
UNCLEAR, ɐ n k l ˈɪə
UNCOMFORTABLE, ɐ n k ˈɐ m f ə t ə b ə l
UNCONSCIOUS, ˌɐ n k ˈɒ n ʃ ə s
UNDEFINED, ˌɐ n d ɪ f ˈaɪ n d
UNDER, ˈɐ n d ə
UNDERGRADUATE, ˌɐ n d ə g ɹ ˈæ d j ʊə t
UNDERGROUND, ˈɐ n d ə g ɹ ˌaʊ n d
UNDERLYING, ˌɐ n d ə l ˈaɪ ɪ ŋ
UNDERMINE, ˌɐ n d ə m ˈaɪ n
UNDERNEATH, ˌɐ n d ə n ˈiː θ
UNDERSTAND, ˌɐ n d ə s t ˈæ n d
UNDERSTANDABLE, ˌɐ n d ə s t ˈæ n d ə b ə l
UNDERSTANDING, ˌɐ n d ə s t ˈæ n d ɪ ŋ
UNDERSTANDS, ˌɐ n d ə s t ˈæ n d z
UNDERSTOOD, ˌɐ n d ə s t ˈʊ d
UNDERTAKE, ˈɐ n d ə t ˌeɪ k
UNDERTAKEN, ˈɐ n d ə t ˌeɪ k ə n
UNDERTAKING, ˈɐ n d ə t ˌeɪ k ɪ ŋ
UNDERWEAR, ˈɐ n d ə w ˌɛə
UNDO, ɐ n d ˈuː
UNDONE, ɐ n d ˈɐ n
UNDOUBTEDLY, ɐ n d ˈaʊ t ɪ d l iː
UNEASY, ɐ n ˈiː z iː
UNEMPLOYED, ˌɐ n ɛ m p l ˈɔɪ d
