'COS, k ˈə z
TIC, t ˈɪ k
TICK, t ˈɪ k
TICKET, t ˈɪ k ɪ t
TICKETS, t ˈɪ k ɪ t s
TIDAL, t ˈaɪ d ə l
TIDE, t ˈaɪ d
TIDESWELL, t ˈɪ d s ə l
TIDY, t ˈaɪ d i
TIE, t ˈaɪ
TIED, t ˈaɪ d
TIER, t ˈɪə
TIES, t ˈaɪ z
TIFFANY, t ˈɪ f ə n i
TIGER, t ˈaɪ g ə
TIGERS, t ˈaɪ g ə z
TIGHT, t ˈaɪ t
TIGHTEN, t ˈaɪ t ə n
TIGHTLY, t ˈaɪ t l i
TIGHTS, t ˈaɪ t s
TIL, t ˈɪ l
TILE, t ˈaɪ l
TILED, t ˈaɪ l d
TILES, t ˈaɪ l z
TILL, t ˈɪ l
TILT, t ˈɪ l t
TIM, t ˈɪ m
TIMBER, t ˈɪ m b ə
TIME, t ˈaɪ m
TIMELINE, t ˈaɪ m l aɪ n
TIMELY, t ˈaɪ m l i
TIMER, t ˈaɪ m ə
TIMES, t ˈaɪ m z
TIMETABLE, t ˈaɪ m t ˌeɪ b ə l
TIMID, t ˈɪ m ɪ d
TIMING, t ˈaɪ m ɪ ŋ
TIMMY, t ˈɪ m i
TIMOTHY, t ˈɪ m ə θ i
TIN, t ˈɪ n
TINA, t ˈiː n ə
TINGE, t ˈɪ n dʒ
TINS, t ˈɪ n z
TINT, t ˈɪ n t
TINY, t ˈaɪ n i
TIP, t ˈɪ p
TIPS, t ˈɪ p s
TIPSY, t ˈɪ p s i
TIRANA, t ɪ ɹ ˈɑː n ə
TIRE, t ˈaɪ ə
TIRED, t ˈaɪ ə d
TIRES, t ˈaɪ ə z
TISSUE(1), t ˈɪ ʃ uː
TISSUE(2), t ˈɪ s j uː
TISSUES(1), t ˈɪ ʃ uː z
TISSUES(2), t ˈɪ s j uː z
TIT, t ˈɪ t
TITAN, t ˈaɪ t ə n
TITANIC, t aɪ t ˈæ n ɪ k
TITANIUM, t aɪ t ˈeɪ n ɪə m
TITANS, t ˈaɪ t ə n z
TITLE, t ˈaɪ t ə l
TITLED, t ˈaɪ t ə l d
TITLES, t ˈaɪ t ə l z
TITS, t ˈɪ t s
TO(1), t ə
TO(2), t ʊ
TO(3), t ˈuː
TOAD, t ˈəʊ d
TOAST, t ˈəʊ s t
TOASTER, t ˈəʊ s t ə
TOBACCO, t ə b ˈæ k ˌəʊ
TOBAGO, t ə b ˈeɪ g əʊ
TOBY, t ˈəʊ b i
TODAY(1), t ə d ˈeɪ
TODAY(2), t uː d ˈeɪ
TODD, t ˈɒ d
TODDLER, t ˈɒ d l ə
TOE, t ˈəʊ
TOENAIL, t ˈəʊ n ˌeɪ l
TOES, t ˈəʊ z
TOFFEE, t ˈɒ f i
TOFU, t ˈəʊ f ˌuː
TOGETHER, t ə g ˈɛ ð ə
TOGGLE, t ˈɒ g ə l
TOIL, t ˈɔɪ l
TOILET, t ˈɔɪ l ɪ t
TOILETS, t ˈɔɪ l ɪ t s
TOKEN, t ˈəʊ k ə n
TOKENS, t ˈəʊ k ə n z
TOKYO, t ˈəʊ k ɪ əʊ
TOLD, t ˈəʊ l d
TOLERANCE, t ˈɒ l ə ɹ ə n s
TOLERATE, t ˈɒ l ə ɹ ˌeɪ t
TOLL, t ˈəʊ l
TOM, t ˈɒ m
TOMATO, t ə m ˈɑː t ˌəʊ
TOMATOES, t ə m ˈɑː t əʊ z
TOMB, t ˈuː m
TOME, t ˈəʊ m
TOMMY, t ˈɒ m i
TOMORROW, t ə m ˈɒ ɹ ˌəʊ
TON, t ˈɐ n
TONE, t ˈəʊ n
TONER, t ˈəʊ n ə
TONES, t ˈəʊ n z
TONG, t ˈɒ ŋ
TONGS, t ˈɒ ŋ z
TONGUE, t ˈɐ ŋ
TONIC, t ˈɒ n ɪ k
TONIGHT, t ə n ˈaɪ t
TONNE, t ˈɐ n
TONNES, t ˈɐ n z
TONS, t ˈɐ n z
TONY, t ˈəʊ n i
TOO, t ˈuː
TOOK, t ˈʊ k
TOOL, t ˈuː l
TOOLBAR, t ˈuː l b ˌɑː
TOOLBOX, t ˈuː l b ˌɒ k s
TOOLKIT, t ˈuː l k ɪ t
TOOLS, t ˈuː l z
TOOT, t ˈuː t
TOOTH, t ˈuː θ
TOP, t ˈɒ p
TOPIC, t ˈɒ p ɪ k
TOPICS, t ˈɒ p ɪ k s
TOPLESS, t ˈɒ p l ɪ s
TOPS, t ˈɒ p s
TORCH, t ˈɔː tʃ
TORE, t ˈɔː
TORFAEN, t ˈɔː v ˌæ n
TORIES, t ˈɔː ɹ i z
TORN, t ˈɔː n
TORNADO, t ɔː n ˈeɪ d əʊ
TORONTO, t ə ɹ ˈɒ n t əʊ
TORPEDO, t ɔː p ˈiː d əʊ
TORPEDOES, t ɔː p ˈiː d əʊ z
TORQUE, t ˈɔː k
TORRENT, t ˈɒ ɹ ə n t
TORSO, t ˈɔː s əʊ
TORTOISE, t ˈɔː t ə s
TORTURE, t ˈɔː tʃ ə
TORY, t ˈɔː ɹ i
TOSHIBA, t əʊ ʃ ˈiː b ə
TOSS, t ˈɒ s
TOT, t ˈɒ t
TOTAL, t ˈəʊ t ə l
TOTALLY, t ˈəʊ t ə l i
TOTALS, t ˈəʊ t ə l z
TOTE, t ˈəʊ t
TOTTENHAM(1), t ˈɒ t n ə m
TOTTENHAM(2), t ˈɒ t ə n ə m
TOUCH, t ˈɐ tʃ
TOUCHED, t ˈɐ tʃ t
TOUCHING, t ˈɐ tʃ ɪ ŋ
TOUGH, t ˈɐ f
TOUR, t ˈʊə
TOURING, t ˈʊə ɹ ɪ ŋ
TOURISM, t ˈʊə ɹ ˌɪ z ə m
TOURIST, t ˈʊə ɹ ɪ s t
TOURISTS, t ˈʊə ɹ ɪ s t s
TOURNAMENT(1), t ˈɔː n ə m ə n t
TOURNAMENT(2), t ˈʊə n ə m ə n t
TOURNAMENTS(1), t ˈɔː n ə m ə n t s
TOURNAMENTS(2), t ˈʊə n ə m ə n t s
TOURS, t ˈʊə z
TOUT, t ˈaʊ t
TOW, t ˈəʊ
TOWARD, t ə w ˈɔː d
TOWARDS(1), t ə w ˈɔː d z
TOWARDS(2), t ˈɔː d z
TOWEL, t ˈaʊ ə l
TOWELS, t ˈaʊ ə l z
TOWER, t ˈaʊ ə
TOWERS, t ˈaʊ ə z
TOWN, t ˈaʊ n
TOWNS, t ˈaʊ n z
TOWNSHIP, t ˈaʊ n ʃ ɪ p
TOXIC, t ˈɒ k s ɪ k
TOXIN, t ˈɒ k s ɪ n
TOY, t ˈɔɪ
TOYOTA, t əʊ j ˈəʊ t ə
TOYS, t ˈɔɪ z
TRACE, t ɹ ˈeɪ s
TRACEY, t ɹ ˈeɪ s i
TRACK, t ɹ ˈæ k
TRACKBACK, t ɹ ˈæ k b ˈæ k
TRACKBACKS, t ɹ ˈæ k b ˈæ k s
TRACKED, t ɹ ˈæ k t
TRACKER, t ɹ ˈæ k ə
TRACKING, t ɹ ˈæ k ɪ ŋ
TRACKS, t ɹ ˈæ k s
TRACT, t ɹ ˈæ k t
TRACTOR, t ɹ ˈæ k t ə
TRACY, t ɹ ˈeɪ s i
TRADE, t ɹ ˈeɪ d
TRADEMARK, t ɹ ˈeɪ d m ˌɑː k
TRADEMARKS, t ɹ ˈeɪ d m ˌɑː k s
TRADER, t ɹ ˈeɪ d ə
TRADERS, t ɹ ˈeɪ d ə z
TRADES, t ɹ ˈeɪ d z
TRADESMEN, t ɹ ˈeɪ d z m ə n
TRADING, t ɹ ˈeɪ d ɪ ŋ
TRADITION, t ɹ ə d ˈɪ ʃ ə n
TRADITIONAL, t ɹ ə d ˈɪ ʃ ə n ə l
TRADITIONALLY(1), t ɹ ə d ˈɪ ʃ n ə l i
TRADITIONALLY(2), t ɹ ə d ˈɪ ʃ ə n ə l i
TRADITIONS, t ɹ ə d ˈɪ ʃ ə n z
TRAFFIC, t ɹ ˈæ f ɪ k
TRAGEDY, t ɹ ˈæ dʒ ɪ d i
TRAGIC, t ɹ ˈæ dʒ ɪ k
TRAIL, t ɹ ˈeɪ l
TRAILER, t ɹ ˈeɪ l ə
TRAILERS, t ɹ ˈeɪ l ə z
TRAILS, t ɹ ˈeɪ l z
TRAIN, t ɹ ˈeɪ n
TRAINED, t ɹ ˈeɪ n d
TRAINEE, t ɹ eɪ n ˈiː
TRAINER, t ɹ ˈeɪ n ə
TRAINERS, t ɹ ˈeɪ n ə z
TRAINING, t ɹ ˈeɪ n ɪ ŋ
TRAINS, t ɹ ˈeɪ n z
TRAIT, t ɹ ˈeɪ t
TRAITOR, t ɹ ˈeɪ t ə
TRAJECTORY, t ɹ ə dʒ ˈɛ k t ə ɹ i
TRAM, t ɹ ˈæ m
TRAMP, t ɹ ˈæ m p
TRANCE, t ɹ ˈɑː n s
TRANNY, t ɹ ˈæ n i
TRANS, t ɹ ˈæ n z
TRANSACTION, t ɹ æ n z ˈæ k ʃ ə n
TRANSACTIONS, t ɹ æ n z ˈæ k ʃ ə n z
TRANSCRIBE, t ɹ æ n s k ɹ ˈaɪ b
TRANSCRIPT, t ɹ ˈæ n s k ɹ ˌɪ p t
TRANSCRIPTION, t ɹ ˌæ n s k ɹ ˈɪ p ʃ ə n
TRANSCRIPTS, t ɹ ˈæ n s k ɹ ˌɪ p t s
TRANSEXUAL, t ɹ æ n z s ˈɛ k ʃ ʊə l
TRANSFER(1), t ɹ æ n s f ˈɜː
TRANSFER(2), t ɹ ˈæ n s f ɜː
TRANSFERRED, t ɹ æ n s f ˈɜː d
TRANSFERS(1), t ɹ ˈæ n s f ɜː z
TRANSFERS(2), t ɹ æ n s f ˈɜː z
TRANSFORM(1), t ɹ æ n s f ˈɔː m
TRANSFORM(2), t ɹ ˈæ n s f ˌɔː m
TRANSFORMATION, t ɹ ˌæ n s f ə m ˈeɪ ʃ ə n
TRANSFORMED, t ɹ æ n s f ˈɔː m d
TRANSIT(1), t ɹ ˈæ n z ɪ t
TRANSIT(2), t ɹ ˈæ n s ɪ t
TRANSITION, t ɹ æ n z ˈɪ ʃ ə n
TRANSLATE, t ɹ ˌæ n s l ˈeɪ t
TRANSLATED, t ɹ ˌæ n s l ˈeɪ t ɪ d
TRANSLATION(1), t ɹ ˌæ n s l ˈeɪ ʃ ə n
TRANSLATION(2), t ɹ ˌæ n z l ˈeɪ ʃ ə n
TRANSLATIONS(1), t ɹ ˌæ n s l ˈeɪ ʃ ə n z
TRANSLATIONS(2), t ɹ ˌæ n z l ˈeɪ ʃ ə n z
TRANSLATOR(1), t ɹ ˌæ n s l ˈeɪ t ə
TRANSLATOR(2), t ɹ ˌæ n z l ˈeɪ t ə
TRANSMISSION(1), t ɹ ˌæ n s m ˈɪ ʃ ə n
TRANSMISSION(2), t ɹ ˌæ n z m ˈɪ ʃ ə n
TRANSMIT, t ɹ æ n z m ˈɪ t
TRANSMITTED, t ɹ æ n s m ˈɪ t ɪ d
TRANSPARENCY(1), t ɹ æ n s p ˈæ ɹ ə n s i
TRANSPARENCY(2), t ɹ æ n s p ˈɛə ɹ ə n s i
TRANSPARENT, t ɹ æ n s p ˈæ ɹ ə n t
TRANSPIRE, t ɹ æ n s p ˈaɪ ə
TRANSPIRED, t ɹ æ n s p ˈaɪ ə d
TRANSPIRES, t ɹ æ n s p ˈaɪ ə z
TRANSPLANT(1), t ɹ ˈæ n s p l ˌɑː n t
TRANSPLANT(2), t ɹ æ n s p l ˈɑː n t
TRANSPORT(1), t ɹ æ n s p ˈɔː t
TRANSPORT(2), t ɹ ˈæ n s p ˌɔː t
TRANSPORTATION, t ɹ ˌæ n s p ə t ˈeɪ ʃ ə n
TRANSSEXUAL, t ɹ æ n z s ˈɛ k ʃ ʊə l
TRAP, t ɹ ˈæ p
TRAPPED, t ɹ ˈæ p t
TRASH, t ɹ ˈæ ʃ
TRAUMA, t ɹ ˈɔː m ə
TRAVEL, t ɹ ˈæ v ə l
TRAVELER, t ɹ ˈæ v ə l ə
TRAVELERS, t ɹ ˈæ v ə l ə z
TRAVELING, t ɹ ˈæ v ə l ɪ ŋ
TRAVELLED, t ɹ ˈæ v ə l d
TRAVELLER, t ɹ ˈæ v ə l ə
TRAVELLERS, t ɹ ˈæ v ə l ə z
TRAVELLING(1), t ɹ ˈæ v l ɪ ŋ
TRAVELLING(2), t ɹ ˈæ v ə l ɪ ŋ
TRAVELS, t ɹ ˈæ v ə l z
TRAVIS, t ɹ ˈæ v ɪ s
TRAWL, t ɹ ˈɔː l
TRAY, t ɹ ˈeɪ
TRAYS, t ɹ ˈeɪ z
TREACLE, t ɹ ˈiː k ə l
TREAD, t ɹ ˈɛ d
TREASURE, t ɹ ˈɛ ʒ ə
TREASURER, t ɹ ˈɛ ʒ ə ɹ ə
TREASURES, t ɹ ˈɛ ʒ ə z
TREASURY, t ɹ ˈɛ ʒ ə ɹ i
TREAT, t ɹ ˈiː t
TREATED, t ɹ ˈiː t ɪ d
TREATING, t ɹ ˈiː t ɪ ŋ
TREATMENT, t ɹ ˈiː t m ə n t
TREATMENTS, t ɹ ˈiː t m ə n t s
TREATY, t ɹ ˈiː t i
TREE, t ɹ ˈiː
TREES, t ɹ ˈiː z
TREK, t ɹ ˈɛ k
TREMBLE, t ɹ ˈɛ m b ə l
TREMENDOUS, t ɹ ɪ m ˈɛ n d ə s
TRENCH, t ɹ ˈɛ n tʃ
TREND, t ɹ ˈɛ n d
TRENDS, t ɹ ˈɛ n d z
TRENT, t ɹ ˈɛ n t
TREVOR, t ɹ ˈɛ v ə
TRIAL(1), t ɹ ˈaɪ l
TRIAL(2), t ɹ ˈaɪ ə l
TRIALS(1), t ɹ ˈaɪ l z
TRIALS(2), t ɹ ˈaɪ ə l z
TRIANGLE, t ɹ ˈaɪ ˌæ ŋ g ə l
TRIATHLON, t ɹ aɪ ˈæ θ l ɒ n
TRIBAL, t ɹ ˈaɪ b ə l
TRIBE, t ɹ ˈaɪ b
TRIBES, t ɹ ˈaɪ b z
TRIBUNAL(1), t ɹ aɪ b j ˈuː n ə l
TRIBUNAL(2), t ɹ ɪ b j ˈuː n ə l
TRIBUNE, t ɹ ˈɪ b j uː n
TRIBUTE, t ɹ ˈɪ b j uː t
TRICK, t ɹ ˈɪ k
TRICKLE, t ɹ ˈɪ k ə l
TRICKS, t ɹ ˈɪ k s
TRICKY, t ɹ ˈɪ k i
TRIED, t ɹ ˈaɪ d
TRIES, t ɹ ˈaɪ z
TRIFLE, t ɹ ˈaɪ f ə l
TRIGGER, t ɹ ˈɪ g ə
TRILL, t ɹ ˈɪ l
TRIM, t ɹ ˈɪ m
TRINIDAD, t ɹ ˈɪ n ɪ d ˌæ d
TRINITY, t ɹ ˈɪ n ɪ t i
TRINKET, t ɹ ˈɪ ŋ k ɪ t
TRIO, t ɹ ˈiː ˌəʊ
TRIP, t ɹ ˈɪ p
TRIPE, t ɹ ˈaɪ p
TRIPLE, t ɹ ˈɪ p ə l
TRIPS, t ɹ ˈɪ p s
TRISH, t ɹ ˈɪ ʃ
TRITE, t ɹ ˈaɪ t
TRIUMPH, t ɹ ˈaɪ ə m f
TRIVIA, t ɹ ˈɪ v ɪə
TRIVIAL, t ɹ ˈɪ v ɪə l
TROD, t ɹ ˈɒ d
TRODDEN, t ɹ ˈɒ d ə n
TROLL(1), t ɹ ˈɒ l
TROLL(2), t ɹ ˈəʊ l
TROLLEY, t ɹ ˈɒ l i
TROLLOP, t ɹ ˈɒ l ə p
TROOP, t ɹ ˈuː p
TROOPS, t ɹ ˈuː p s
TROPHY, t ɹ ˈəʊ f i
TROPICAL, t ɹ ˈɒ p ɪ k ə l
TROT, t ɹ ˈɒ t
TROUBLE, t ɹ ˈɐ b ə l
TROUBLES, t ɹ ˈɐ b ə l z
TROUBLESHOOTING, t ɹ ˈɐ b ə l ʃ ˌuː t ɪ ŋ
TROUSERS, t ɹ ˈaʊ z ə z
TROUT, t ɹ ˈaʊ t
TROY, t ɹ ˈɔɪ
TRUCE, t ɹ ˈuː s
TRUCK, t ɹ ˈɐ k
TRUCKS, t ɹ ˈɐ k s
TRUE, t ɹ ˈuː
TRULY, t ɹ ˈuː l i
TRUMP, t ɹ ˈɐ m p
TRUMPET, t ɹ ˈɐ m p ɪ t
TRUNK, t ɹ ˈɐ ŋ k
TRUST, t ɹ ˈɐ s t
TRUSTED, t ɹ ˈɐ s t ɪ d
TRUSTEE, t ɹ ˌɐ s t ˈiː
TRUSTEES, t ɹ ˌɐ s t ˈiː z
TRUSTS, t ɹ ˈɐ s t s
TRUTH, t ɹ ˈuː θ
TRY, t ɹ ˈaɪ
TRYING(1), t ɹ ˈaɪ ŋ
TRYING(2), t ɹ ˈaɪ ɪ ŋ
TSAR(1), z ˈɑː
TSAR(2), t s ˈɑː
TSUNAMI, t s ʊ n ˈɑː m i
TUB, t ˈɐ b
TUBBY, t ˈɐ b i
TUBE, t j ˈuː b
TUBER, t j ˈuː b ə
TUBES, t j ˈuː b z
TUCK, t ˈɐ k
TUCSON, t ˈuː s ˌɒ n
TUDOR, t j ˈuː d ə
TUESDAY(1), t j ˈuː z d i
TUESDAY(2), t j ˈuː z d ˌeɪ
TUESDAYS(1), t j ˈuː z d i z
TUESDAYS(2), t j ˈuː z d ˌeɪ z
TUFT, t ˈɐ f t
TUG, t ˈɐ g
TUITION, t j uː ˈɪ ʃ ə n
TULIP, t j ˈuː l ɪ p
TUMBLE, t ˈɐ m b ə l
TUMMY, t ˈɐ m i
TUMOR, t j ˈuː m ə
TUMOUR, t j ˈuː m ə
TUNA, t j ˈuː n ə
TUNE, t j ˈuː n
TUNER, t j ˈuː n ə
TUNES, t j ˈuː n z
TUNING, t j ˈuː n ɪ ŋ
TUNISIA, t j ˌuː n ˈɪ z ɪə
TUNNEL, t ˈɐ n ə l
TUPLE, t ˈɐ p ə l
TURBINE, t ˈɜː b aɪ n
TURBO, t ˈɜː b əʊ
TURBULENT, t ˈɜː b j ʊ l ə n t
TURD, t ˈɜː d
TURF, t ˈɜː f
TURFS, t ˈɜː f s
TURK, t ˈɜː k
TURKEY, t ˈɜː k i
TURKISH, t ˈɜː k ɪ ʃ
TURN, t ˈɜː n
TURNED, t ˈɜː n d
TURNER, t ˈɜː n ə
TURNING, t ˈɜː n ɪ ŋ
TURNOVER, t ˈɜː n ˌəʊ v ə
TURNS, t ˈɜː n z
TURQUOISE(1), t ˈɜː k w ɔɪ z
TURQUOISE(2), t ˈɜː k w ɑː z
TURTLE, t ˈɜː t ə l
TURTLES, t ˈɜː t ə l z
TUSK, t ˈɐ s k
TUT, t ˈɐ t
TUTOR, t j ˈuː t ə
TUTORIAL, t j uː t ˈɔː ɹ ɪə l
TUTORIALS, t j uː t ˈɔː ɹ ɪə l z
TWANG, t w ˈæ ŋ
TWAT, t w ˈæ t
TWEAK, t w ˈiː k
TWEE, t w ˈiː
TWEED, t w ˈiː d
TWEET, t w ˈiː t
TWELFTH, t w ˈɛ l f θ
TWELFTHS, t w ˈɛ l f θ s
TWELVE, t w ˈɛ l v
TWENTIES, t w ˈɛ n t i z
TWENTIETH, t w ˈɛ n t i ɪ θ
TWENTY, t w ˈɛ n t i
TWENTY-FIVE, t w ˌɛ n t iː f ˈaɪ v
TWICE, t w ˈaɪ s
TWIG, t w ˈɪ g
TWIN, t w ˈɪ n
TWINKLE, t w ˈɪ ŋ k ə l
TWINKS, t w ˈɪ ŋ k s
TWINS, t w ˈɪ n z
TWIRL, t w ˈɜː l
TWIST, t w ˈɪ s t
TWISTED, t w ˈɪ s t ɪ d
TWIT, t w ˈɪ t
TWITCH, t w ˈɪ tʃ
TWITTER, t w ˈɪ t ə
TWO, t ˈuː
TWOS, t ˈuː z
TYLER, t ˈaɪ l ə
TYNE, t ˈaɪ n
TYPE, t ˈaɪ p
TYPES, t ˈaɪ p s
TYPEWRITER, t ˈaɪ p ɹ ˌaɪ t ə
TYPICAL, t ˈɪ p ɪ k ə l
TYPICALLY(1), t ˈɪ p ɪ k l i
TYPICALLY(2), t ˈɪ p ɪ k ə l i
TYPING, t ˈaɪ p ɪ ŋ
TYPO, t ˈaɪ p əʊ
TYRE, t ˈaɪ ə
TYRES, t ˈaɪ ə z
U, j ˈuː
U'S, j ˈuː z
UDDER, ˈɐ d ə
UGANDA, j uː g ˈæ n d ə
UGH, ˈɐ g
UGLY, ˈɐ g l i
UH, ˈɐ
UKRAINE, j uː k ɹ ˈeɪ n
ULCER, ˈɐ l s ə
ULSTER, ˈɐ l s t ə
ULTIMATE, ˈɐ l t ɪ m ɪ t
ULTIMATELY, ˈɐ l t ɪ m ɪ t l i
ULTRA, ˈɐ l t ɹ ə
UM(1), ə m
UM(2), ɐ m
UMBRELLA, ɐ m b ɹ ˈɛ l ə
UN-PARENTHESES, ɐ n p ə ɹ ˈɛ n θ ɪ s ˌiː z
UNABLE, ɐ n ˈeɪ b ə l
UNACCEPTABLE, ˌɐ n ə k s ˈɛ p t ə b ə l
UNADORNED, ɐ n ə d ˈɔː n d
UNANIMOUS, j uː n ˈæ n ɪ m ə s
UNAUTHORIZED, ɐ n ˈɔː θ ə ɹ ˌaɪ z d
UNAVAILABLE, ˌɐ n ə v ˈeɪ l ə b ə l
UNAWARE, ˌɐ n ə w ˈɛə
UNBELIEVABLE, ˌɐ n b ə l ˈiː v ə b ə l
UNCERTAIN, ɐ n s ˈɜː t ə n
UNCERTAINTY, ɐ n s ˈɜː t ə n t i
UNCHANGED, ɐ n tʃ ˈeɪ n dʒ d
UNCLE, ˈɐ ŋ k ə l
UNCLEAR, ɐ n k l ˈɪə
UNCOMFORTABLE, ɐ n k ˈɐ m f ə t ə b ə l
UNCONSCIOUS, ɐ n k ˈɒ n ʃ ə s
UNCOVER, ɐ n k ˈɐ v ə
UNDEFINED, ˌɐ n d ɪ f ˈaɪ n d
UNDER, ˈɐ n d ə
UNDERGO, ˌɐ n d ə g ˈəʊ
UNDERGONE, ˌɐ n d ə g ˈɒ n
UNDERGRADUATE, ˌɐ n d ə g ɹ ˈæ d j ʊə t
UNDERGROUND, ˈɐ n d ə g ɹ ˌaʊ n d
UNDERLIE, ˌɐ n d ə l ˈaɪ
UNDERLINE(1), ˌɐ n d ə l ˈaɪ n
UNDERLINE(2), ˈɐ n d ə l ˌaɪ n
UNDERLYING, ˌɐ n d ə l ˈaɪ ɪ ŋ
UNDERMINE, ˌɐ n d ə m ˈaɪ n
UNDERNEATH, ˌɐ n d ə n ˈiː θ
UNDERSTAND, ˌɐ n d ə s t ˈæ n d
UNDERSTANDABLE, ˌɐ n d ə s t ˈæ n d ə b ə l
UNDERSTANDING, ˌɐ n d ə s t ˈæ n d ɪ ŋ
UNDERSTANDS, ˌɐ n d ə s t ˈæ n d z
UNDERSTOOD, ˌɐ n d ə s t ˈʊ d
UNDERTAKE, ˈɐ n d ə t ˌeɪ k
UNDERTAKEN, ˈɐ n d ə t ˌeɪ k ə n
UNDERTAKING, ˈɐ n d ə t ˌeɪ k ɪ ŋ
UNDERWEAR, ˈɐ n d ə w ˌɛə
UNDERWENT, ˌɐ n d ə w ˈɛ n t
UNDO, ɐ n d ˈuː
UNDONE, ɐ n d ˈɐ n
UNDOUBTEDLY, ɐ n d ˈaʊ t ɪ d l i
UNDUE, ɐ n d j ˈuː
UNDULY, ɐ n d j ˈuː l i
UNEASY, ɐ n ˈiː z i
UNEMPLOYED, ˌɐ n ɛ m p l ˈɔɪ d
UNEMPLOYMENT, ˌɐ n ɪ m p l ˈɔɪ m ə n t
UNESCO, j uː n ˈɛ s k əʊ
UNEVEN, ɐ n ˈiː v ə n
UNEXPECTED, ˌɐ n ɪ k s p ˈɛ k t ɪ d
UNEXPECTEDLY, ˌɐ n ɪ k s p ˈɛ k t ɪ d l i
UNFAIR, ɐ n f ˈɛə
UNFAMILIAR, ˌɐ n f ə m ˈɪ l j ə
UNFIT, ɐ n f ˈɪ t
UNFOLD, ɐ n f ˈəʊ l d
UNFORTUNATE, ɐ n f ˈɔː tʃ ə n ɪ t
UNFORTUNATELY, ɐ n f ˈɔː tʃ ə n ɪ t l i
UNHAPPY, ɐ n h ˈæ p i
UNI, j ˈuː n i
UNIFIED, j ˈuː n ɪ f ˌaɪ d
UNIFORM, j ˈuː n ɪ f ˌɔː m
UNIFY, j ˈuː n ɪ f ˌaɪ
UNINTELLIGIBLE, ˌɐ n ɪ n t ˈɛ l ɪ dʒ ɪ b ə l
UNION, j ˈuː n j ə n
UNIONIST, j ˈuː n j ə n ɪ s t
UNIONISTS, j ˈuː n j ə n ɪ s t s
UNIONS, j ˈuː n j ə n z
UNIQUE, j uː n ˈiː k
UNIT, j ˈuː n ɪ t
UNITE, j uː n ˈaɪ t
UNITED, j uː n ˈaɪ t ɪ d
UNITS, j ˈuː n ɪ t s
UNITY, j ˈuː n ɪ t i
UNIVERSAL, j ˌuː n ɪ v ˈɜː s ə l
UNIVERSE, j ˈuː n ɪ v ˌɜː s
UNIVERSITIES, j ˌuː n ɪ v ˈɜː s ɪ t i z
UNIVERSITY, j ˌuː n ɪ v ˈɜː s ɪ t i
UNIX, j ˈuː n ɪ k s
UNKNOWN, ɐ n n ˈəʊ n
UNLABELED, ɐ n l ˈeɪ b ə l d
UNLABELLED, ɐ n l ˈeɪ b ə l d
UNLAWFUL, ɐ n l ˈɔː f ə l
UNLESS, ɐ n l ˈɛ s
UNLIKE, ɐ n l ˈaɪ k
UNLIKELY, ɐ n l ˈaɪ k l i
UNLIMITED, ɐ n l ˈɪ m ɪ t ɪ d
UNLOAD, ɐ n l ˈəʊ d
UNLOCK, ɐ n l ˈɒ k
UNLUCKY, ɐ n l ˈɐ k i
UNNECESSARY, ɐ n n ˈɛ s ə s ə ɹ i
UNPLEASANT, ɐ n p l ˈɛ z ə n t
UNPRECEDENTED, ɐ n p ɹ ˈɛ s ɪ d ˌɛ n t ɪ d
UNPREDICTABLE, ˌɐ n p ɹ ɪ d ˈɪ k t ə b ə l
UNQUOTE, ˌɐ n k w ˈəʊ t
UNREASONABLE, ɐ n ɹ ˈiː z n ə b ə l
UNRELIABLE, ˌɐ n ɹ ɪ l ˈaɪ ə b ə l
UNREST, ɐ n ɹ ˈɛ s t
UNSATISFACTORY, ˌɐ n s ə t ɪ s f ˈæ k t ə ɹ i
UNSIGNED, ɐ n s ˈaɪ n d
UNSTABLE, ɐ n s t ˈeɪ b ə l
UNSUBSCRIBE, ɐ n s ə b s k ɹ ˈaɪ b
UNSUCCESSFUL, ˌɐ n s ə k s ˈɛ s f ə l
UNSUITABLE, ɐ n s ˈuː t ə b ə l
UNSURE, ɐ n ʃ ˈɔː
UNTIL, ɐ n t ˈɪ l
UNTITLED, ɐ n t ˈaɪ t ə l d
UNTO, ˈɐ n t uː
UNTOUCHED, ɐ n t ˈɐ tʃ t
UNTRUE, ɐ n t ɹ ˈuː
UNTRUTH, ɐ n t ɹ ˈuː θ
UNUSED, ɐ n j ˈuː z d
UNUSUAL, ɐ n j ˈuː ʒ ʊə l
UNUSUALLY, ɐ n j ˈuː ʒ ʊə l i
UNWANTED, ɐ n w ˈɒ n t ɪ d
UNWILLING, ɐ n w ˈɪ l ɪ ŋ
UNWRAP, ɐ n ɹ ˈæ p
UNZIP, ɐ n z ˈɪ p
UP, ˈɐ p
UPCOMING, ˈɐ p k ˌɐ m ɪ ŋ
UPDATE(1), ˈɐ p d ˌeɪ t
UPDATE(2), ɐ p d ˈeɪ t
UPDATED, ɐ p d ˈeɪ t ɪ d
UPDATES(1), ˈɐ p d ˌeɪ t s
UPDATES(2), ɐ p d ˈeɪ t s
UPDATING, ɐ p d ˈeɪ t ɪ ŋ
UPGRADE(1), ˈɐ p g ɹ ˌeɪ d
UPGRADE(2), ɐ p g ɹ ˈeɪ d
UPGRADES(1), ˈɐ p g ɹ ˌeɪ d z
